as_of_date,symbol,field,value
2018-09-30,MOCK1,pe,23.651464865723533
2018-09-30,MOCK2,pe,26.815263678258393
2018-09-30,MOCK3,pe,23.30437898246592
2018-12-31,MOCK1,pe,18.05979526669561
2018-12-31,MOCK2,pe,33.65644494020866
2018-12-31,MOCK3,pe,19.79786977349601
2019-03-31,MOCK1,pe,38.945249943996075
2019-03-31,MOCK2,pe,26.02460664749821
2019-03-31,MOCK3,pe,17.191830085932388
2019-06-30,MOCK1,pe,25.94005819901469
2019-06-30,MOCK2,pe,18.958643856853982
2019-06-30,MOCK3,pe,31.608512160446175
2019-09-30,MOCK1,pe,31.580208557365893
2019-09-30,MOCK2,pe,44.4302586751913
2019-09-30,MOCK3,pe,14.050495421459903
2019-12-31,MOCK1,pe,14.05792647334557
2019-12-31,MOCK2,pe,45.34368918276054
2019-12-31,MOCK3,pe,45.605705255005354
2020-03-31,MOCK1,pe,24.994848983120743
2020-03-31,MOCK2,pe,44.232413045668096
2020-03-31,MOCK3,pe,48.30308801162535
2020-06-30,MOCK1,pe,12.811347995747564
2020-06-30,MOCK2,pe,17.486814047296342
2020-06-30,MOCK3,pe,29.921943377998662
2020-09-30,MOCK1,pe,28.293087699670224
2020-09-30,MOCK2,pe,39.39236704010209
2020-09-30,MOCK3,pe,44.9942756353409
2020-12-31,MOCK1,pe,19.33740251537536
2020-12-31,MOCK2,pe,32.170744205003004
2020-12-31,MOCK3,pe,34.96970336827424
2021-03-31,MOCK1,pe,18.23974983608863
2021-03-31,MOCK2,pe,12.573806895097155
2021-03-31,MOCK3,pe,31.180444441458384
2021-06-30,MOCK1,pe,18.1372463505285
2021-06-30,MOCK2,pe,19.096372083980913
2021-06-30,MOCK3,pe,49.05115327905981
2021-09-30,MOCK1,pe,33.440542032243734
2021-09-30,MOCK2,pe,27.237468565498627
2021-09-30,MOCK3,pe,41.51381012171046
2021-12-31,MOCK1,pe,39.83897391642311
2021-12-31,MOCK2,pe,13.527439631721236
2021-12-31,MOCK3,pe,12.273436966865816
2022-03-31,MOCK1,pe,20.291665786135923
2022-03-31,MOCK2,pe,41.879391363950056
2022-03-31,MOCK3,pe,22.57370099558566
2022-06-30,MOCK1,pe,20.751767589127446
2022-06-30,MOCK2,pe,31.29447802857412
2022-06-30,MOCK3,pe,37.67622683676327
2022-09-30,MOCK1,pe,15.761284454078393
2022-09-30,MOCK2,pe,13.274854883200899
2022-09-30,MOCK3,pe,11.701707802164446
2022-12-31,MOCK1,pe,27.145246089898603
2022-12-31,MOCK2,pe,46.20756435523795
2022-12-31,MOCK3,pe,36.60493652857359
2023-03-31,MOCK1,pe,38.32071624341791
2023-03-31,MOCK2,pe,41.08896119925909
2023-03-31,MOCK3,pe,25.455384212538256
2023-06-30,MOCK1,pe,18.843724719902433
2023-06-30,MOCK2,pe,20.474233628741032
2023-06-30,MOCK3,pe,46.48681640022163
2023-09-30,MOCK1,pe,47.54849785040307
2023-09-30,MOCK2,pe,41.66387702039853
2023-09-30,MOCK3,pe,33.97858579637615
2023-12-31,MOCK1,pe,21.422218031122316
2023-12-31,MOCK2,pe,44.09397135673317
2023-12-31,MOCK3,pe,27.062945773390616
2024-03-31,MOCK1,pe,33.77351093242302
2024-03-31,MOCK2,pe,22.635003189901745
2024-03-31,MOCK3,pe,24.36523246974081
2024-06-30,MOCK1,pe,45.78982146288155
2024-06-30,MOCK2,pe,41.78582054705864
2024-06-30,MOCK3,pe,29.324394279436117
2024-09-30,MOCK1,pe,31.57486210121626
2024-09-30,MOCK2,pe,45.11072799397126
2024-09-30,MOCK3,pe,14.929800578806042
2024-12-31,MOCK1,pe,40.87536070685785
2024-12-31,MOCK2,pe,39.558203256704275
2024-12-31,MOCK3,pe,22.288048032511725
2025-03-31,MOCK1,pe,11.278213763329838
2025-03-31,MOCK2,pe,40.03250599298336
2025-03-31,MOCK3,pe,15.614518717299362
2025-06-30,MOCK1,pe,11.493611343812473
2025-06-30,MOCK2,pe,47.60387631686333
2025-06-30,MOCK3,pe,37.508837580664874
2025-09-30,MOCK1,pe,11.201672550045325
2025-09-30,MOCK2,pe,40.93374967201012
2025-09-30,MOCK3,pe,37.307808965785476
2025-12-31,MOCK1,pe,36.89867192984214
2025-12-31,MOCK2,pe,20.394992871783625
2025-12-31,MOCK3,pe,27.392943615021935
2026-03-31,MOCK1,pe,19.00912666391762
2026-03-31,MOCK2,pe,44.20038629316162
2026-03-31,MOCK3,pe,14.258715270915957
2026-06-30,MOCK1,pe,34.034541016977045
2026-06-30,MOCK2,pe,27.094663343632845
2026-06-30,MOCK3,pe,29.361448410127903
