symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
LTM,nifty50,2023-07-13,2024-09-30,INE000018101,,NSE,True
LUPIN,nifty50,2014-01-01,2018-09-28,INE000018141,,NSE,True
M&M,nifty50,2014-01-01,,INE000018181,,NSE,False
MARUTI,nifty50,2014-01-01,,INE000018931,,NSE,False
MAXHEALTH,nifty50,2025-09-30,,INE000019041,,NSE,False
MCDOWELL-N,nifty50,2014-03-28,2014-09-19,,,NSE,True
NESTLEIND,nifty50,2019-09-27,,INE000021411,,NSE,False
NMDC,nifty50,2014-01-01,2015-09-28,INE000023671,,NSE,True
NTPC,nifty50,2014-01-01,,INE000023841,,NSE,False
ONGC,nifty50,2014-01-01,,INE000024221,,NSE,False
POWERGRID,nifty50,2014-01-01,,INE000025671,,NSE,False
RANBAXY,nifty50,2014-01-01,2014-03-28,,,NSE,True
RELIANCE,nifty50,2014-01-01,,INE000027281,,NSE,False
SAMMAANCAP,nifty50,2017-03-31,2019-09-27,INE000028531,,NSE,True
SBILIFE,nifty50,2020-09-25,,INE000029011,,NSE,False
SBIN,nifty50,2014-01-01,,INE000029041,,NSE,False
SHREECEM,nifty50,2020-03-27,2022-09-30,INE000030101,,NSE,True
SHRIRAMFIN,nifty50,2024-03-28,,INE000030241,,NSE,False
SUNPHARMA,nifty50,2014-01-01,,INE000032101,,NSE,False
TATACONSUM,nifty50,2021-03-31,,INE000032851,,NSE,False
TATAPOWER,nifty50,2014-01-01,2017-09-29,INE000032891,,NSE,True
TATASTEEL,nifty50,2014-01-01,,INE000032901,,NSE,False
TCS,nifty50,2014-01-01,,INE000033041,,NSE,False
TECHM,nifty50,2014-03-28,,INE000033141,,NSE,False
TITAN,nifty50,2018-04-02,,INE000033651,,NSE,False
TMPV,nifty50,2014-01-01,,INE000033681,,NSE,False
TRENT,nifty50,2024-09-30,,INE000033971,,NSE,False
ULTRACEMCO,nifty50,2014-01-01,,INE000034411,,NSE,False
UPL,nifty50,2017-09-29,2024-03-28,INE000034691,,NSE,True
VEDL,nifty50,2017-05-26,2020-07-31,INE000035101,,NSE,True
WIPRO,nifty50,2014-01-01,,INE000036431,,NSE,False
YESBANK,nifty50,2015-03-27,2020-03-27,INE000036641,,NSE,True
ZEEL,nifty50,2014-09-19,2020-09-25,INE000036701,,NSE,True
