symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
DIVISLAB,Nifty 100,2019-03-29,2099-12-31,,,NSE,False
TATAPOWER,Nifty 100,2000-01-01,2018-04-02,,,NSE,False
TATAPOWER,Nifty 100,2022-08-08,2099-12-31,,,NSE,False
GLAXO,Nifty 100,2000-01-01,2018-04-02,,,NSE,False
GSKCONS,Nifty 100,2000-01-01,2018-04-02,,,NSE,False
TORNTPHARM,Nifty 100,2000-01-01,2018-04-02,,,NSE,False
TORNTPHARM,Nifty 100,2020-03-27,2099-12-31,,,NSE,False
GLENMARK,Nifty 100,2000-01-01,2018-04-02,,,NSE,False
PFC,Nifty 100,2000-01-01,2018-09-28,,,NSE,False
PFC,Nifty 100,2019-09-27,2021-03-31,,,NSE,False
PFC,Nifty 100,2024-03-28,2099-12-31,,,NSE,False
RECLTD,Nifty 100,2017-03-31,2018-09-28,,,NSE,False
RECLTD,Nifty 100,2024-03-28,2099-12-31,,,NSE,False
CUMMINSIND,Nifty 100,2000-01-01,2018-09-28,,,NSE,False
CUMMINSIND,Nifty 100,2026-03-30,2099-12-31,,,NSE,False
EMAMILTD,Nifty 100,2000-01-01,2018-09-28,,,NSE,False
PNB,Nifty 100,2000-01-01,2018-09-28,,,NSE,False
PNB,Nifty 100,2019-09-27,2022-09-30,,,NSE,False
PNB,Nifty 100,2023-09-29,2099-12-31,,,NSE,False
SUNTV,Nifty 100,2017-05-26,2019-03-29,,,NSE,False
LICHSGFIN,Nifty 100,2000-01-01,2019-03-29,,,NSE,False
BEL,Nifty 100,2000-01-01,2019-03-29,,,NSE,False
BEL,Nifty 100,2022-09-30,2099-12-31,,,NSE,False
ABCAPITAL,Nifty 100,2018-04-02,2019-03-29,,,NSE,False
OIL,Nifty 100,2000-01-01,2019-03-29,,,NSE,False
BHEL,Nifty 100,2000-01-01,2019-09-27,,,NSE,False
BHEL,Nifty 100,2024-09-30,2025-03-28,,,NSE,False
MRF,Nifty 100,2017-09-29,2019-09-27,,,NSE,False
MRF,Nifty 100,2021-03-31,2099-12-31,,,NSE,False
SAIL,Nifty 100,2000-01-01,2019-09-27,,,NSE,False
SAIL,Nifty 100,2021-09-30,2022-09-30,,,NSE,False
YESBANK,Nifty 100,2000-01-01,2020-03-19,,,NSE,False
YESBANK,Nifty 100,2000-01-01,2020-03-27,,,NSE,False
YESBANK,Nifty 100,2021-03-31,2022-03-31,,,NSE,False
IBULHSGFIN,Nifty 100,2015-03-27,2020-03-27,,,NSE,False
IBULHSGFIN,Nifty 100,2000-01-01,2020-06-26,,,NSE,False
L&TFH,Nifty 100,2018-04-02,2020-03-27,,,NSE,False
L&TFH,Nifty 100,2000-01-01,2020-06-26,,,NSE,False
ASHOKLEY,Nifty 100,2015-09-28,2020-03-27,,,NSE,False
ASHOKLEY,Nifty 100,2000-01-01,2020-06-26,,,NSE,False
IDEA,Nifty 100,2000-01-01,2020-03-27,,,NSE,False
IDEA,Nifty 100,2000-01-01,2020-06-26,,,NSE,False
NIACL,Nifty 100,2018-09-28,2020-06-26,,,NSE,False
TATAMTRDVR,Nifty 100,2000-01-01,2020-06-26,,,NSE,False
TATAMTRDVR,Nifty 100,2023-09-29,2099-12-31,,,NSE,False
VEDL,Nifty 100,2000-01-01,2020-07-31,,,NSE,False
VEDL,Nifty 100,2021-03-31,2099-12-31,,,NSE,False
PAGEIND,Nifty 100,2019-03-29,2020-09-25,,,NSE,False
PAGEIND,Nifty 100,2023-03-31,2023-09-29,,,NSE,False
ZEEL,Nifty 100,2000-01-01,2020-09-25,,,NSE,False
NHPC,Nifty 100,2000-01-01,2020-09-25,,,NSE,False
NHPC,Nifty 100,2024-09-30,2025-03-28,,,NSE,False
SRTRANSFIN,Nifty 100,2000-01-01,2020-09-25,,,NSE,False
OFSS,Nifty 100,2000-01-01,2021-03-31,,,NSE,False
GICRE,Nifty 100,2018-04-02,2021-03-31,,,NSE,False
CONCOR,Nifty 100,2000-01-01,2021-03-31,,,NSE,False
HINDZINC,Nifty 100,2000-01-01,2021-03-31,,,NSE,False
HINDZINC,Nifty 100,2025-09-30,2099-12-31,,,NSE,False
BANKBARODA,Nifty 100,2000-01-01,2021-03-31,,,NSE,False
BANKBARODA,Nifty 100,2021-09-30,2099-12-31,,,NSE,False
MOTHERSUMI,Nifty 100,2014-09-19,2021-06-30,,,NSE,False
PETRONET,Nifty 100,2017-03-31,2021-09-30,,,NSE,False
ABBOTINDIA,Nifty 100,2020-06-26,2021-09-30,,,NSE,False
ALKEM,Nifty 100,2020-09-25,2021-09-30,,,NSE,False
IGL,Nifty 100,2020-06-26,2022-03-31,,,NSE,False
AUROPHARMA,Nifty 100,2014-09-19,2022-03-31,,,NSE,False
HINDPETRO,Nifty 100,2000-01-01,2022-03-31,,,NSE,False
PEL,Nifty 100,2000-01-01,2022-08-08,,,NSE,False
NMDC,Nifty 100,2000-01-01,2022-08-08,,,NSE,False
JUBLFOOD,Nifty 100,2021-03-31,2022-09-30,,,NSE,False
LUPIN,Nifty 100,2000-01-01,2022-09-30,,,NSE,False
ZYDUSLIFE,Nifty 100,2000-01-01,2022-09-30,,,NSE,False
ZYDUSLIFE,Nifty 100,2023-09-29,2099-12-31,,,NSE,False
PAYTM,Nifty 100,2022-03-31,2023-03-31,,,NSE,False
BIOCON,Nifty 100,2018-09-28,2023-03-31,,,NSE,False
GLAND,Nifty 100,2021-06-30,2023-03-31,,,NSE,False
BANDHANBNK,Nifty 100,2018-09-28,2023-03-31,,,NSE,False
HDFC,Nifty 100,2000-01-01,2023-07-13,,,NSE,False
INDUSTOWER,Nifty 100,2000-01-01,2023-09-29,,,NSE,False
HDFCAMC,Nifty 100,2019-03-29,2023-09-29,,,NSE,False
HDFCAMC,Nifty 100,2026-03-30,2099-12-31,,,NSE,False
NYKAA,Nifty 100,2022-03-31,2023-09-29,,,NSE,False
ACC,Nifty 100,2000-01-01,2023-09-29,,,NSE,False
AWL,Nifty 100,2023-03-31,2024-03-28,,,NSE,False
UPL,Nifty 100,2000-01-01,2024-03-28,,,NSE,False
PIIND,Nifty 100,2021-09-30,2024-03-28,,,NSE,False
MUTHOOTFIN,Nifty 100,2020-06-26,2024-03-28,,,NSE,False
MUTHOOTFIN,Nifty 100,2026-03-30,2099-12-31,,,NSE,False
PGHH,Nifty 100,2000-01-01,2024-03-28,,,NSE,False
BERGEPAINT,Nifty 100,2019-09-27,2024-09-30,,,NSE,False
MARICO,Nifty 100,2015-09-28,2024-09-30,,,NSE,False
SRF,Nifty 100,2022-03-31,2024-09-30,,,NSE,False
SBICARD,Nifty 100,2020-07-31,2024-09-30,,,NSE,False
COLPAL,Nifty 100,2000-01-01,2024-09-30,,,NSE,False
IRCTC,Nifty 100,2022-09-30,2025-03-28,,,NSE,False
ATGL,Nifty 100,2022-09-30,2025-03-28,,,NSE,False
INDUSINDBK,Nifty 100,2000-01-01,2025-09-30,,,NSE,False
ICICIPRULI,Nifty 100,2017-03-31,2025-09-30,,,NSE,False
HEROMOTOCO,Nifty 100,2000-01-01,2025-09-30,,,NSE,False
DABUR,Nifty 100,2000-01-01,2025-09-30,,,NSE,False
SWIGGY,Nifty 100,2025-03-28,2025-09-30,,,NSE,False
HAVELLS,Nifty 100,2000-01-01,2026-03-30,,,NSE,False
ICICIGI,Nifty 100,2018-09-28,2026-03-30,,,NSE,False
LICI,Nifty 100,2022-08-08,2026-03-30,,,NSE,False
BAJAJHFL,Nifty 100,2025-03-28,2026-03-30,,,NSE,False
JSWENERGY,Nifty 100,2024-09-30,2026-03-30,,,NSE,False
NAUKRI,Nifty 100,2020-03-27,2026-03-30,,,NSE,False
INFRATEL,Nifty 100,2014-03-28,2099-12-31,,,NSE,False
INGVYSYABK,Nifty 100,2014-03-28,2099-12-31,,,NSE,False
SUNDARMFIN,Nifty 100,2015-09-28,2099-12-31,,,NSE,False
IOC,Nifty 100,2015-10-19,2099-12-31,,,NSE,False
DMART,Nifty 100,2017-09-29,2099-12-31,,,NSE,False
SBILIFE,Nifty 100,2018-04-02,2099-12-31,,,NSE,False
HDFCLIFE,Nifty 100,2018-09-28,2099-12-31,,,NSE,False
BAJAJHLDNG,Nifty 100,2019-03-29,2099-12-31,,,NSE,False
NESTLEIND,Nifty 100,2019-09-27,2099-12-31,,,NSE,False
ADANITRANS,Nifty 100,2020-03-19,2099-12-31,,,NSE,False
LTI,Nifty 100,2020-03-27,2099-12-31,,,NSE,False
ADANIGREEN,Nifty 100,2020-09-25,2099-12-31,,,NSE,False
TATACONSUM,Nifty 100,2020-09-25,2099-12-31,,,NSE,False
ADANIENT,Nifty 100,2021-03-31,2099-12-31,,,NSE,False
CHOLAFIN,Nifty 100,2021-09-30,2099-12-31,,,NSE,False
ZOMATO,Nifty 100,2022-03-31,2099-12-31,,,NSE,False
MINDTREE,Nifty 100,2022-03-31,2099-12-31,,,NSE,False
HAL,Nifty 100,2022-09-30,2099-12-31,,,NSE,False
MOTHERSON,Nifty 100,2022-09-30,2099-12-31,,,NSE,False
ABB,Nifty 100,2023-03-31,2099-12-31,,,NSE,False
VBL,Nifty 100,2023-03-31,2099-12-31,,,NSE,False
CANBK,Nifty 100,2023-03-31,2099-12-31,,,NSE,False
TVSMOTOR,Nifty 100,2023-09-29,2099-12-31,,,NSE,False
TRENT,Nifty 100,2023-09-29,2099-12-31,,,NSE,False
SHRIRAMFIN,Nifty 100,2023-09-29,2099-12-31,,,NSE,False
ADANIPOWER,Nifty 100,2024-03-28,2099-12-31,,,NSE,False
IRFC,Nifty 100,2024-03-28,2099-12-31,,,NSE,False
JIOFIN,Nifty 100,2024-03-28,2099-12-31,,,NSE,False
LODHA,Nifty 100,2024-09-30,2099-12-31,,,NSE,False
INDHOTEL,Nifty 100,2025-03-28,2099-12-31,,,NSE,False
HYUNDAI,Nifty 100,2025-03-28,2099-12-31,,,NSE,False
CGPOWER,Nifty 100,2025-03-28,2099-12-31,,,NSE,False
MAXHEALTH,Nifty 100,2025-09-30,2099-12-31,,,NSE,False
MAZDOCK,Nifty 100,2025-09-30,2099-12-31,,,NSE,False
SOLARINDS,Nifty 100,2025-09-30,2099-12-31,,,NSE,False
ENRIN,Nifty 100,2025-09-30,2099-12-31,,,NSE,False
TATACAP,Nifty 100,2026-03-30,2099-12-31,,,NSE,False
TMCV,Nifty 100,2026-03-30,2099-12-31,,,NSE,False
